217, 18.283971, -11.221931, -1.762117;
218, 18.287221, -11.340916, -1.801566;
219, 18.263314, -11.444454, -1.795164;
220, 18.223130, -11.537455, -1.813413;
221, 18.194927, -11.660852, -1.802760;
222, 18.151545, -11.765015, -1.815735;
223, 18.127580, -11.870291, -1.805230;
224, 18.104685, -12.008174, -1.794570;
225, 18.078402, -12.132545, -1.783839;
226, 18.037276, -12.261452, -1.775511;
227, 18.017874, -12.367778, -1.766306;
228, 17.995690, -12.473806, -1.751318;
229, 17.978373, -12.578870, -1.742037;
230, 17.934591, -12.710356, -1.731027;
231, 17.917530, -12.811722, -1.737769;
232, 17.907881, -12.919650, -1.768542;
233, 17.878179, -13.023557, -1.819077;
234, 17.850725, -13.124946, -1.826007;
235, 17.832218, -13.239533, -1.800125;
236, 17.804653, -13.362729, -1.791003;
237, 17.773409, -13.445922, -1.793977;
238, 17.747288, -13.569324, -1.784779;
239, 17.727326, -13.707369, -1.794368;
240, 17.705816, -13.812054, -1.785166;
241, 17.675252, -13.915723, -1.772926;
242, 17.652336, -14.039652, -1.763647;
243, 17.628560, -14.167230, -1.754974;
244, 17.607780, -14.291985, -1.744316;
245, 17.320300, -14.817414, -1.765873;
246, 17.294788, -14.904052, -1.822000;
247, 17.260721, -15.017510, -1.840957;
248, 17.232174, -15.120102, -1.843268;
249, 16.999852, -14.729260, -1.819232;
250, 16.953501, -14.879757, -1.818897;
251, 16.927214, -14.984274, -1.818897;
252, 16.885180, -15.092577, -1.818044;
253, 16.863928, -15.177355, -1.818044;
254, 16.826404, -15.311809, -1.820716;
255, 16.800320, -15.414827, -1.820716;
256, 16.774065, -15.519315, -1.822125;
257, 16.752391, -15.602434, -1.822125;
258, 16.721366, -15.724580, -1.822125;
259, 16.680990, -15.852569, -1.820519;
260, 16.650962, -15.975034, -1.813158;
261, 16.601987, -16.125159, -1.803024;
262, 16.579095, -16.230751, -1.793814;
263, 16.546916, -16.353648, -1.805307;
264, 16.516413, -16.459659, -1.813588;
265, 16.490170, -16.569948, -1.817721;
266, 16.470403, -16.666050, -1.803299;
267, 16.443317, -16.777930, -1.791936;
268, 16.417104, -16.903331, -1.784116;
269, 16.377590, -17.033642, -1.775732;
270, 16.347970, -17.126496, -1.768326;
271, 16.332154, -17.203299, -1.757802;
272, 16.310175, -17.329009, -1.748516;
273, 16.294172, -17.456758, -1.741997;
274, 16.274382, -17.593572, -1.747355;
275, 16.249342, -17.707617, -1.776647;
276, 16.217023, -17.849211, -1.808907;
277, 16.192554, -17.952065, -1.806622;
278, 16.125461, -18.118669, -1.744701;
279, 16.111170, -18.204640, -1.736869;
280, 16.139348, -18.279313, -1.789726;
281, 16.114047, -18.377946, -1.808818;
282, 16.105093, -18.466127, -1.829292;
283, 16.072481, -18.586359, -1.833213;
284, 16.026281, -18.733454, -1.798715;
285, 16.003660, -18.837881, -1.792420;
286, 15.966028, -18.950569, -1.820362;
287, 15.936630, -19.071864, -1.829297;
288, 15.909915, -19.173432, -1.838358;
289, 15.881140, -19.272702, -1.849014;
290, 15.844141, -19.404476, -1.853340;
291, 15.819905, -19.511802, -1.862279;
292, 15.793955, -19.611048, -1.856412;
293, 15.760422, -19.731750, -1.848822;
294, 15.687280, -19.884183, -1.874645;
295, 15.647724, -19.998194, -1.893502;
296, 15.630171, -20.137053, -1.886980;
297, 15.597620, -20.238674, -1.876320;
298, 16.334158, -20.208920, -1.832699;
299, 16.302813, -20.331315, -1.823568;
300, 15.636294, -20.639645, -1.861988;
301, 15.599310, -20.752325, -1.881078;
302, 15.593462, -20.823855, -1.898795;
303, 15.553179, -20.944274, -1.892371;
304, 15.328617, -21.006482, -1.876492;
305, 15.303511, -21.090396, -1.868667;
306, 15.254925, -21.210640, -1.878251;
307, 15.224356, -21.312935, -1.867590;
308, 15.163533, -21.459229, -1.857318;
309, 15.133078, -21.537676, -1.848881;
310, 15.099204, -21.657293, -1.849918;
311, 15.068994, -21.755667, -1.857280;
312, 15.040601, -21.894001, -1.848317;
313, 14.994659, -22.029289, -1.842873;
314, 14.958938, -22.148425, -1.855880;
315, 14.927067, -22.246019, -1.875276;
316, 14.873878, -22.395560, -1.870413;
317, 14.837551, -22.544423, -1.852713;
318, 14.814082, -22.628674, -1.846426;
319, 14.796334, -22.734631, -1.838206;
320, 14.964795, -22.941610, -1.850775;
321, 14.915575, -23.074782, -1.856251;
322, 14.885062, -23.174704, -1.865384;
323, 14.864616, -23.257741, -1.868240;
324, 14.826446, -23.376391, -1.878972;
325, 14.789443, -23.528462, -1.882260;
326, 14.757838, -23.630813, -1.875054;
327, 14.728066, -23.727637, -1.888962;
328, 14.689573, -23.849161, -1.883065;
329, 15.315780, -23.828348, -1.826833;
330, 15.288028, -23.943359, -1.814712;
331, 15.264186, -24.057283, -1.800404;
332, 15.241613, -24.159050, -1.789510;
333, 15.201008, -24.268156, -1.779516;
334, 15.176072, -24.393809, -1.768771;
335, 14.592115, -24.785591, -1.774653;
336, 14.572247, -24.891133, -1.764146;
337, 15.096322, -24.742226, -1.744002;
338, 15.079906, -24.847478, -1.734962;
339, 15.067580, -24.982546, -1.721146;
340, 15.053798, -25.089039, -1.710407;
341, 15.009606, -25.220814, -1.700972;
342, 14.995309, -25.347193, -1.690309;
343, 14.994801, -25.499408, -1.676960;
344, 14.985142, -25.604181, -1.666217;
345, 14.941765, -25.711894, -1.657072;
346, 14.934200, -25.818230, -1.646416;
347, 14.929126, -25.928923, -1.637546;
348, 14.923736, -26.036873, -1.628338;
349, 14.967673, -26.155496, -1.622732;
350, 14.950715, -26.257220, -1.701164;
351, 14.115421, -26.528677, -1.797095;
352, 14.073381, -26.635652, -1.892292;
353, 14.028812, -26.739891, -1.986218;
354, 13.977466, -26.839502, -2.076505;
355, 13.932561, -26.925382, -2.172563;
356, 13.854739, -27.006522, -2.270669;
357, 13.817622, -27.113466, -2.369555;
358, 13.736669, -27.169086, -2.467639;
359, 14.472405, -27.119578, -2.498602;
360, 14.386795, -27.165304, -2.596748;
361, 14.288803, -27.241694, -2.682882;
362, 14.188028, -27.317542, -2.713077;
363, 13.940544, -27.272419, -2.788743;
364, 13.844258, -27.291113, -2.886183;
365, 13.795933, -27.387233, -2.982131;
366, 13.705842, -27.392487, -3.042374;
367, 13.118284, -27.436448, -3.084080;
368, 12.655268, -27.436616, 3.117451;
369, 12.533704, -27.431043, 3.045543;
370, 12.408717, -27.414693, 2.985646;
371, 12.302648, -27.399052, 2.988464;
372, 12.218839, -27.396536, 2.973366;
373, 12.093159, -27.378142, 2.984023;
374, 11.940250, -27.324409, 2.967492;
375, 11.845585, -27.303168, 2.939346;
376, 11.715259, -27.266335, 2.936584;
377, 11.589932, -27.242038, 2.945245;
378, 11.518096, -27.259166, 2.946306;
379, 11.392455, -27.236579, 2.955588;
380, 11.244016, -27.175820, 2.943245;
381, 11.155814, -27.150999, 2.890903;
382, 11.033035, -27.112892, 2.837355;
383, 10.931514, -27.081190, 2.840165;
384, 10.773144, -27.054514, 2.886079;
385, 10.649203, -27.023849, 2.896743;
386, 10.547169, -26.978165, 2.888498;
387, 10.427451, -26.941046, 2.877276;
388, 10.329348, -26.909881, 2.860062;
389, 10.213644, -26.888118, 2.854379;
390, 10.108293, -26.859681, 2.852911;
391, 9.974026, -26.811442, 2.852647;
392, 9.870971, -26.781010, 2.852647;
393, 9.727342, -26.737289, 2.850766;
394, 9.643760, -26.711592, 2.850766;
395, 9.538238, -26.677658, 2.851034;
396, 9.416373, -26.641417, 2.851034;
397, 10.084242, -26.740061, 2.921299;
398, 9.960409, -26.712425, 2.921299;
399, 9.854031, -26.688257, 2.916447;
400, 9.729230, -26.660165, 2.916447;
401, 8.913256, -26.509518, 2.905843;
402, 8.815489, -26.504890, 3.014038;
403, 9.022714, -26.681578, 3.115677;
404, 8.571706, -26.397092, -3.072573;
405, 8.450356, -26.404341, -2.973690;
406, 8.350403, -26.462291, -2.852094;
407, 8.252333, -26.527381, -2.758109;
408, 8.155236, -26.579312, -2.695213;
409, 8.442725, -26.904999, -2.622191;
410, 8.364733, -26.957862, -2.570037;
411, 7.888880, -26.656160, -2.521561;
412, 7.816484, -26.717873, -2.467938;
413, 8.088006, -27.117133, -2.415973;
414, 8.010850, -27.198916, -2.362424;
415, 7.957689, -27.306548, -2.319724;
416, 7.880100, -27.396197, -2.294256;
417, 7.784621, -27.473711, -2.235508;
418, 7.733331, -27.551658, -2.183628;
419, 7.662764, -27.648070, -2.157832;
420, 7.607485, -27.736568, -2.135590;
421, 7.538996, -27.872295, -2.111303;
422, 7.488411, -27.972535, -2.061074;
423, 7.430558, -28.065970, -2.009745;
424, 7.388897, -28.161477, -1.991156;
425, 7.351647, -28.256514, -1.953666;
426, 7.313898, -28.367935, -1.917306;
427, 7.259719, -28.477599, -1.905521;
428, 7.226602, -28.578155, -1.897776;
429, 7.185258, -28.698283, -1.899264;
430, 7.141033, -28.818105, -1.898576;
431, 7.101740, -28.940098, -1.890065;
432, 7.078755, -29.095928, -1.877125;
433, 7.032838, -29.181034, -1.870785;
434, 7.001163, -29.276474, -1.885043;
435, 6.961180, -29.389639, -1.903290;
436, 6.927237, -29.489959, -1.896940;
437, 6.888367, -29.605000, -1.856797;
438, 6.854567, -29.727796, -1.846137;
439, 6.819443, -29.815472, -1.852994;
440, 6.784741, -29.934751, -1.854059;
441, 6.740150, -30.049277, -1.874198;
442, 6.701316, -30.167091, -1.884850;
443, 6.662336, -30.303543, -1.876242;
444, 6.628690, -30.402381, -1.886910;
445, 6.597834, -30.524898, -1.896117;
446, 6.557372, -30.639629, -1.888720;
447, 6.524269, -30.740835, -1.888874;
448, 6.483790, -30.862844, -1.882458;
449, 6.442783, -30.987308, -1.876138;
450, 6.400646, -31.109775, -1.871366;
451, 6.361060, -31.211794, -1.869891;
452, 6.325198, -31.331934, -1.867964;
453, 6.292221, -31.432998, -1.894663;
454, 6.247397, -31.559145, -1.881007;
455, 6.206866, -31.662351, -1.860207;
456, 6.170367, -31.803435, -1.874432;
457, 6.132199, -31.923708, -1.874432;
458, 6.085113, -32.045134, -1.871636;
459, 6.048062, -32.165365, -1.871636;
460, 6.010533, -32.271068, -1.888729;
461, 5.977120, -32.370586, -1.898007;
462, 5.936447, -32.489427, -1.882035;
463, 5.898659, -32.611691, -1.873457;
464, 5.852127, -32.738173, -1.874991;
465, 5.827369, -32.822375, -1.867166;
466, 5.794617, -32.926000, -1.865281;
467, 5.760156, -33.047024, -1.856071;
468, 5.705267, -33.177920, -1.869528;
469, 5.667283, -33.294685, -1.880125;
470, 5.658306, -33.404046, -1.865164;
471, 5.621983, -33.519900, -1.875822;
472, 5.592188, -33.633326, -1.884669;
473, 5.554649, -33.752651, -1.877851;
474, 5.511284, -33.860608, -1.870223;
475, 5.481853, -33.961945, -1.863852;
476, 5.414165, -34.089834, -1.856262;
477, 5.379957, -34.213536, -1.845522;
478, 5.351422, -34.341787, -1.842722;
479, 5.324065, -34.445749, -1.833437;
480, 5.317339, -34.553499, -1.846819;
481, 5.281389, -34.667598, -1.865001;
482, 5.240372, -34.769478, -1.864466;
483, 5.199065, -34.880635, -1.875647;
484, 5.162024, -34.997621, -1.884872;
485, 5.121136, -35.110834, -1.906339;
486, 4.677723, -34.936565, -1.950968;
487, 4.648151, -35.027234, -1.912419;
488, 4.596866, -35.137083, -1.882527;
489, 4.561017, -35.243843, -1.844516;
490, 4.490513, -35.337021, -1.822700;
491, 4.465551, -35.454336, -1.796852;
492, 4.469319, -35.564064, -1.764607;
493, 4.452111, -35.680873, -1.733864;
494, 4.435446, -35.814254, -1.700111;
495, 4.428900, -35.912863, -1.663522;
496, 4.397108, -36.015110, -1.618320;
497, 4.407383, -36.113627, -1.527153;
498, 4.359242, -36.224871, -1.429573;
499, 4.382165, -36.341933, -1.399852;
500, 4.475910, -36.471114, -1.339392;
501, 4.519701, -36.571206, -1.254300;
502, 4.557076, -36.652528, -1.184404;
503, 4.545737, -36.761140, -1.132478;
504, 4.626616, -36.869512, -1.068981;
505, 4.700045, -36.968575, -0.984097;
506, 4.774768, -37.071231, -0.883954;
507, 4.840034, -37.136223, -0.822436;
508, 4.918086, -37.222071, -0.790685;
509, 5.007668, -37.310076, -0.784267;
510, 5.084273, -37.386172, -0.782077;
511, 5.191771, -37.479689, -0.711424;
512, 5.281546, -37.541470, -0.651061;
513, 5.354218, -37.618366, -0.682307;
514, 5.428357, -37.686657, -0.640636;
515, 5.521057, -37.736898, -0.552841;
516, 5.616029, -37.795147, -0.479017;
517, 5.730425, -37.834595, -0.382298;
518, 5.876227, -37.918833, -0.361609;
519, 5.984904, -37.957627, -0.349173;
520, 6.110870, -37.995491, -0.318122;
521, 6.231373, -38.032562, -0.307378;
522, 6.323044, -38.057940, -0.297985;
523, 6.441645, -38.091615, -0.285720;
524, 6.517634, -38.111544, -0.276652;
525, 6.620029, -38.138912, -0.267371;
526, 6.768343, -38.186069, -0.254735;
527, 6.873239, -38.211599, -0.245461;
528, 6.968711, -38.236056, -0.234011;
529, 7.092295, -38.263462, -0.223271;
530, 7.176085, -38.279215, -0.209896;
531, 7.301334, -38.303404, -0.199232;
532, 7.417916, -38.328865, -0.186137;
533, 7.523142, -38.347541, -0.176861;
534, 7.635339, -38.362820, -0.166163;
535, 7.761334, -38.381297, -0.155497;
536, 7.885091, -38.375604, -0.156793;
537, 8.002338, -38.396959, -0.174815;
538, 8.118148, -38.424633, -0.105627;
539, 8.233966, -38.415657, 0.001333;
540, 8.339061, -38.425807, 0.069319;
541, 8.433742, -38.402078, 0.179700;
542, 8.546746, -38.376560, 0.270673;
543, 8.638436, -38.371712, 0.384306;
544, 8.735541, -38.300712, 0.491210;
545, 8.833022, -38.253885, 0.618538;
546, 8.918206, -38.174986, 0.731179;
547, 8.997029, -38.113136, 0.834124;
548, 9.056194, -38.038330, 0.949266;
549, 9.123434, -37.944987, 1.021956;
550, 9.188670, -37.836056, 1.027355;
551, 9.256211, -37.717101, 1.065610;
552, 9.310462, -37.619864, 1.067066;
553, 9.370264, -37.518726, 1.071326;
554, 9.434644, -37.401079, 1.073683;
555, 9.486052, -37.293545, 1.072511;
556, 9.547519, -37.180689, 1.072511;
557, 9.604803, -37.078254, 1.076199;
