[0m[ INFO] [1340020673.752452552]: loading parameters...[0m
[0m[ INFO] [1340020673.823811346]: creating SLAM object...[0m
[0m[ INFO] [1340020673.824576993]: initializing...[0m
[0m[ INFO] [1340020673.824829829]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340020674.018814110, 1339759399.891477919]: ...[0m
[0m[ INFO] [1340020674.020724032, 1339759399.891477919]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340020677.649475923, 1339759400.401065343]: ...[0m
[0m[ INFO] [1340020677.651181214, 1339759400.401065343]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340020677.743227518, 1339759400.496109254]: ...[0m
[0m[ INFO] [1340020677.743527010, 1339759400.496109254]: done[0m
[0m[ INFO] [1340020677.743556600, 1339759400.496109254]: waiting for transform between /pioneer1/base_link and /pioneer1/right...[0m
[0m[ INFO] [1340020677.743588639, 1339759400.496109254]: ...[0m
[0m[ INFO] [1340020677.743667782, 1339759400.496109254]: done[0m
[0m[ INFO] [1340020677.743724376, 1339759400.496109254]: camera pose: x: 0.060000, y: -0.090000, z: 0.535000[0m
[0m[ INFO] [1340020677.743729843, 1339759400.496109254]: camera pose: roll: -1.570000, pitch: 0.000000, yaw: -1.570000[0m
[0m[ INFO] [1340020677.743731658, 1339759400.496109254]: subscribing to 1 sources...[0m
[0m[ INFO] [1340020677.743733048, 1339759400.496109254]: subscribing to topic: /pioneer1/ar_pose_marker[0m
[0m[ INFO] [1340020677.748928905, 1339759400.506234103]: advertising topics...[0m
289,0.529364,0.529364,0.529364
290,0.530310,0.530310,0.530310
291,0.532743,0.532743,0.532743
292,0.534813,0.534813,0.534813
293,0.537404,0.537404,0.537404
294,0.538537,0.538537,0.538537
295,0.540549,0.540549,0.540549
296,0.541755,0.541755,0.541755
297,0.543466,0.543466,0.543466
298,0.546011,0.546011,0.546011
299,0.547204,0.547204,0.547204
300,0.549458,0.549458,0.549458
301,0.552088,0.552088,0.552088
302,0.553070,0.553070,0.553070
303,0.554666,0.554666,0.554666
304,0.556095,0.556095,0.556095
305,0.557571,0.557571,0.557571
306,0.558971,0.558971,0.558971
307,0.560270,0.560270,0.560270
308,0.561042,0.561042,0.561042
309,0.561745,0.561745,0.561745
310,0.562853,0.562853,0.562853
311,0.563585,0.563585,0.563585
312,0.564321,0.564321,0.564321
313,0.565399,0.565399,0.565399
314,0.566128,0.566128,0.566128
315,0.567225,0.567225,0.567225
316,0.568266,0.568266,0.568266
317,0.569000,0.569000,0.569000
318,0.570141,0.570141,0.570141
319,0.570972,0.570972,0.570972
320,0.571556,0.571556,0.571556
321,0.572549,0.572549,0.572549
322,0.572758,0.572758,0.572758
323,0.573736,0.573736,0.573736
324,0.573856,0.573856,0.573856
325,0.573898,0.573898,0.573898
326,0.573991,0.573991,0.573991
327,0.574642,0.574642,0.574642
328,0.575189,0.575189,0.575189
329,0.575248,0.575248,0.575248
330,0.578720,0.578720,0.578720
331,0.577760,0.577760,0.577760
332,0.577327,0.577327,0.577327
333,0.577120,0.577120,0.577120
334,0.576702,0.576702,0.576702
335,0.576227,0.576227,0.576227
336,0.575863,0.575863,0.575863
337,0.575520,0.575520,0.575520
338,0.574220,0.574220,0.574220
339,0.573625,0.573625,0.573625
340,0.572405,0.572405,0.572405
341,0.572005,0.572005,0.572005
342,0.571176,0.571176,0.571176
343,0.570101,0.570101,0.570101
344,0.569799,0.569799,0.569799
345,0.569827,0.569827,0.569827
346,0.568947,0.568947,0.568947
347,0.567913,0.567913,0.567913
348,0.567241,0.567241,0.567241
349,0.566803,0.566803,0.566803
350,0.566372,0.566372,0.566372
351,0.565769,0.565769,0.565769
352,0.564893,0.564893,0.564893
353,0.564266,0.564266,0.564266
354,0.563411,0.563411,0.563411
355,0.562738,0.562738,0.562738
356,0.561737,0.561737,0.561737
357,0.560220,0.560220,0.560220
358,0.559382,0.559382,0.559382
359,0.558882,0.558882,0.558882
360,0.558300,0.558300,0.558300
361,0.557680,0.557680,0.557680
362,0.556670,0.556670,0.556670
363,0.555683,0.555683,0.555683
364,0.554981,0.554981,0.554981
365,0.553456,0.553456,0.553456
366,0.551979,0.551979,0.551979
367,0.551315,0.551315,0.551315
368,0.550319,0.550319,0.550319
369,0.549304,0.549304,0.549304
370,0.548320,0.548320,0.548320
371,0.547673,0.547673,0.547673
372,0.546676,0.546676,0.546676
373,0.545558,0.545558,0.545558
374,0.544857,0.544857,0.544857
375,0.543828,0.543828,0.543828
376,0.542807,0.542807,0.542807
377,0.542115,0.542115,0.542115
378,0.541755,0.541755,0.541755
379,0.540481,0.540481,0.540481
380,0.539489,0.539489,0.539489
381,0.538477,0.538477,0.538477
382,0.537250,0.537250,0.537250
383,0.536298,0.536298,0.536298
384,0.535390,0.535390,0.535390
385,0.533938,0.533938,0.533938
386,0.533683,0.533683,0.533683
387,0.528325,0.528325,0.528325
388,0.525399,0.525399,0.525399
389,0.524108,0.524108,0.524108
390,0.521834,0.521834,0.521834
391,0.519531,0.519531,0.519531
392,0.518260,0.518260,0.518260
393,0.516295,0.516295,0.516295
394,0.513199,0.513199,0.513199
395,0.510068,0.510068,0.510068
396,0.505690,0.505690,0.505690
397,0.500226,0.500226,0.500226
398,0.495684,0.495684,0.495684
399,0.492032,0.492032,0.492032
400,0.487606,0.487606,0.487606
401,0.483198,0.483198,0.483198
402,0.478406,0.478406,0.478406
403,0.473614,0.473614,0.473614
404,0.469556,0.469556,0.469556
405,0.466233,0.466233,0.466233
406,0.461062,0.461062,0.461062
407,0.457585,0.457585,0.457585
408,0.453637,0.453637,0.453637
409,0.449339,0.449339,0.449339
410,0.441869,0.441869,0.441869
411,0.437094,0.437094,0.437094
412,0.432743,0.432743,0.432743
413,0.426431,0.426431,0.426431
414,0.423692,0.423692,0.423692
415,0.419501,0.419501,0.419501
416,0.414757,0.414757,0.414757
417,0.410054,0.410054,0.410054
418,0.406798,0.406798,0.406798
419,0.401022,0.401022,0.401022
420,0.396262,0.396262,0.396262
421,0.393115,0.393115,0.393115
422,0.388220,0.388220,0.388220
423,0.384988,0.384988,0.384988
424,0.383245,0.383245,0.383245
425,0.380689,0.380689,0.380689
426,0.378141,0.378141,0.378141
427,0.374614,0.374614,0.374614
428,0.371761,0.371761,0.371761
429,0.369192,0.369192,0.369192
430,0.366091,0.366091,0.366091
431,0.361601,0.361601,0.361601
432,0.358675,0.358675,0.358675
433,0.356304,0.356304,0.356304
434,0.353723,0.353723,0.353723
435,0.351779,0.351779,0.351779
436,0.349113,0.349113,0.349113
437,0.347663,0.347663,0.347663
438,0.342455,0.342455,0.342455
439,0.339810,0.339810,0.339810
440,0.335835,0.335835,0.335835
441,0.332931,0.332931,0.332931
442,0.329308,0.329308,0.329308
443,0.325044,0.325044,0.325044
444,0.318777,0.318777,0.318777
445,0.316107,0.316107,0.316107
446,0.312018,0.312018,0.312018
447,0.307908,0.307908,0.307908
448,0.303624,0.303624,0.303624
449,0.299655,0.299655,0.299655
450,0.293512,0.293512,0.293512
451,0.289772,0.289772,0.289772
452,0.286750,0.286750,0.286750
453,0.283202,0.283202,0.283202
454,0.279130,0.279130,0.279130
455,0.275038,0.275038,0.275038
456,0.270834,0.270834,0.270834
457,0.267436,0.267436,0.267436
458,0.264020,0.264020,0.264020
459,0.260576,0.260576,0.260576
460,0.257494,0.257494,0.257494
461,0.252163,0.252163,0.252163
462,0.248129,0.248129,0.248129
463,0.246194,0.246194,0.246194
464,0.242669,0.242669,0.242669
465,0.239847,0.239847,0.239847
466,0.236211,0.236211,0.236211
467,0.231793,0.231793,0.231793
468,0.228025,0.228025,0.228025
469,0.223639,0.223639,0.223639
470,0.219051,0.219051,0.219051
471,0.216198,0.216198,0.216198
472,0.213078,0.213078,0.213078
473,0.210264,0.210264,0.210264
474,0.208367,0.208367,0.208367
475,0.204780,0.204780,0.204780
476,0.200338,0.200338,0.200338
477,0.198898,0.198898,0.198898
