[0m[ INFO] [1340027441.927965909]: loading parameters...[0m
[0m[ INFO] [1340027441.986326822]: creating SLAM object...[0m
[0m[ INFO] [1340027441.986763323]: initializing...[0m
[0m[ INFO] [1340027441.987001290]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340027442.128931117, 1339759399.891477919]: ...[0m
[0m[ INFO] [1340027442.130465741, 1339759399.891477919]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340027464.122123022, 1339759400.402748933]: ...[0m
[0m[ INFO] [1340027464.122354412, 1339759400.402748933]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340027464.225220903, 1339759400.500761904]: ...[0m
[0m[ INFO] [1340027464.227333253, 1339759400.500761904]: done[0m
[0m[ INFO] [1340027464.227361398, 1339759400.500761904]: waiting for transform between /pioneer1/base_link and /pioneer1/right...[0m
[0m[ INFO] [1340027464.227396298, 1339759400.500761904]: ...[0m
[0m[ INFO] [1340027464.227432942, 1339759400.500761904]: done[0m
[0m[ INFO] [1340027464.227596074, 1339759400.511073192]: camera pose: x: 0.060000, y: -0.090000, z: 0.535000[0m
[0m[ INFO] [1340027464.227628581, 1339759400.511073192]: camera pose: roll: -1.570000, pitch: 0.000000, yaw: -1.570000[0m
[0m[ INFO] [1340027464.227656458, 1339759400.511073192]: subscribing to 1 sources...[0m
[0m[ INFO] [1340027464.227786928, 1339759400.511073192]: subscribing to topic: /pioneer1/ar_pose_marker[0m
[0m[ INFO] [1340027464.231335981, 1339759400.511073192]: advertising topics...[0m
224,0.385327,0.385327,0.385327
225,0.386483,0.386483,0.386483
226,0.388901,0.388901,0.388901
227,0.390587,0.390587,0.390587
228,0.392944,0.392944,0.392944
229,0.395323,0.395323,0.395323
230,0.397035,0.397035,0.397035
231,0.399680,0.399680,0.399680
232,0.401443,0.401443,0.401443
233,0.404118,0.404118,0.404118
234,0.406677,0.406677,0.406677
235,0.409145,0.409145,0.409145
236,0.411070,0.411070,0.411070
237,0.413660,0.413660,0.413660
238,0.415576,0.415576,0.415576
239,0.418386,0.418386,0.418386
240,0.420237,0.420237,0.420237
241,0.423547,0.423547,0.423547
242,0.426147,0.426147,0.426147
243,0.428525,0.428525,0.428525
244,0.430289,0.430289,0.430289
245,0.432735,0.432735,0.432735
246,0.435446,0.435446,0.435446
247,0.437455,0.437455,0.437455
248,0.439736,0.439736,0.439736
249,0.441996,0.441996,0.441996
250,0.443352,0.443352,0.443352
251,0.445467,0.445467,0.445467
252,0.447010,0.447010,0.447010
253,0.447492,0.447492,0.447492
254,0.449345,0.449345,0.449345
255,0.449944,0.449944,0.449944
256,0.452056,0.452056,0.452056
257,0.453306,0.453306,0.453306
258,0.454413,0.454413,0.454413
259,0.455464,0.455464,0.455464
260,0.457314,0.457314,0.457314
261,0.459400,0.459400,0.459400
262,0.460357,0.460357,0.460357
263,0.461646,0.461646,0.461646
264,0.462390,0.462390,0.462390
265,0.462908,0.462908,0.462908
266,0.464665,0.464665,0.464665
267,0.465311,0.465311,0.465311
268,0.466922,0.466922,0.466922
269,0.468536,0.468536,0.468536
270,0.471072,0.471072,0.471072
271,0.472148,0.472148,0.472148
272,0.474531,0.474531,0.474531
273,0.477706,0.477706,0.477706
274,0.480812,0.480812,0.480812
275,0.482026,0.482026,0.482026
276,0.483515,0.483515,0.483515
277,0.486045,0.486045,0.486045
278,0.488485,0.488485,0.488485
279,0.490602,0.490602,0.490602
280,0.492818,0.492818,0.492818
281,0.494455,0.494455,0.494455
282,0.496774,0.496774,0.496774
283,0.498714,0.498714,0.498714
284,0.501317,0.501317,0.501317
285,0.502300,0.502300,0.502300
286,0.503400,0.503400,0.503400
287,0.505421,0.505421,0.505421
288,0.507006,0.507006,0.507006
289,0.508811,0.508811,0.508811
290,0.510871,0.510871,0.510871
291,0.512690,0.512690,0.512690
292,0.515419,0.515419,0.515419
293,0.517435,0.517435,0.517435
294,0.519402,0.519402,0.519402
295,0.521381,0.521381,0.521381
296,0.524307,0.524307,0.524307
297,0.525890,0.525890,0.525890
298,0.528132,0.528132,0.528132
299,0.530414,0.530414,0.530414
300,0.531384,0.531384,0.531384
301,0.533842,0.533842,0.533842
302,0.535945,0.535945,0.535945
303,0.538125,0.538125,0.538125
304,0.539337,0.539337,0.539337
305,0.541342,0.541342,0.541342
306,0.542936,0.542936,0.542936
307,0.544365,0.544365,0.544365
308,0.546355,0.546355,0.546355
309,0.547529,0.547529,0.547529
310,0.548713,0.548713,0.548713
311,0.550987,0.550987,0.550987
312,0.552988,0.552988,0.552988
313,0.554582,0.554582,0.554582
314,0.556184,0.556184,0.556184
315,0.557769,0.557769,0.557769
316,0.559404,0.559404,0.559404
317,0.560940,0.560940,0.560940
318,0.562036,0.562036,0.562036
319,0.562742,0.562742,0.562742
320,0.564188,0.564188,0.564188
321,0.565272,0.565272,0.565272
322,0.565962,0.565962,0.565962
323,0.567041,0.567041,0.567041
324,0.568122,0.568122,0.568122
325,0.569578,0.569578,0.569578
326,0.570675,0.570675,0.570675
327,0.572237,0.572237,0.572237
328,0.572416,0.572416,0.572416
329,0.573544,0.573544,0.573544
330,0.573810,0.573810,0.573810
331,0.574676,0.574676,0.574676
332,0.574709,0.574709,0.574709
333,0.574741,0.574741,0.574741
334,0.574978,0.574978,0.574978
335,0.575815,0.575815,0.575815
336,0.575855,0.575855,0.575855
337,0.575893,0.575893,0.575893
338,0.575928,0.575928,0.575928
339,0.579347,0.579347,0.579347
340,0.578392,0.578392,0.578392
341,0.577605,0.577605,0.577605
342,0.576574,0.576574,0.576574
343,0.575724,0.575724,0.575724
344,0.575441,0.575441,0.575441
345,0.574413,0.574413,0.574413
346,0.574123,0.574123,0.574123
347,0.573193,0.573193,0.573193
348,0.572922,0.572922,0.572922
349,0.572114,0.572114,0.572114
350,0.571353,0.571353,0.571353
351,0.570879,0.570879,0.570879
352,0.570702,0.570702,0.570702
353,0.569997,0.569997,0.569997
354,0.568956,0.568956,0.568956
355,0.568386,0.568386,0.568386
356,0.567943,0.567943,0.567943
357,0.567812,0.567812,0.567812
358,0.566844,0.566844,0.566844
359,0.566214,0.566214,0.566214
360,0.565550,0.565550,0.565550
361,0.564569,0.564569,0.564569
362,0.563860,0.563860,0.563860
363,0.563469,0.563469,0.563469
364,0.562869,0.562869,0.562869
365,0.561366,0.561366,0.561366
366,0.561368,0.561368,0.561368
367,0.560524,0.560524,0.560524
368,0.559890,0.559890,0.559890
369,0.558543,0.558543,0.558543
370,0.557882,0.557882,0.557882
371,0.556841,0.556841,0.556841
372,0.554949,0.554949,0.554949
373,0.553779,0.553779,0.553779
374,0.553109,0.553109,0.553109
375,0.552111,0.552111,0.552111
376,0.551025,0.551025,0.551025
377,0.550367,0.550367,0.550367
378,0.549382,0.549382,0.549382
379,0.548714,0.548714,0.548714
380,0.547611,0.547611,0.547611
381,0.546551,0.546551,0.546551
382,0.545848,0.545848,0.545848
383,0.544817,0.544817,0.544817
384,0.543803,0.543803,0.543803
385,0.542749,0.542749,0.542749
386,0.541754,0.541754,0.541754
387,0.540737,0.540737,0.540737
388,0.539420,0.539420,0.539420
389,0.538150,0.538150,0.538150
390,0.536887,0.536887,0.536887
391,0.535826,0.535826,0.535826
392,0.535739,0.535739,0.535739
393,0.535603,0.535603,0.535603
394,0.528477,0.528477,0.528477
395,0.526247,0.526247,0.526247
396,0.523864,0.523864,0.523864
397,0.522897,0.522897,0.522897
398,0.520468,0.520468,0.520468
399,0.518708,0.518708,0.518708
400,0.517429,0.517429,0.517429
401,0.515169,0.515169,0.515169
402,0.511044,0.511044,0.511044
403,0.506591,0.506591,0.506591
404,0.502995,0.502995,0.502995
405,0.500225,0.500225,0.500225
406,0.497644,0.497644,0.497644
